search_term,ol_key,title,author,first_publish_year,publisher,language,subject,isbn,cover_i
graphic novel,/works/OL17092593W,Champion,"Marie Lu, Steven Kaplan, Mariel Stern",2013.0,,eng,,,8371540.0
graphic novel,/works/OL16557703W,Prodigy,Marie Lu,2012.0,,"eng, chi, fre",,,9257778.0
graphic novel,/works/OL17199409W,Artemis Fowl. The Graphic Novel,"Eoin Colfer, Andrew Donkin, Michael Moreci, Stephen Gilpin",2007.0,,"eng, spa",,,12636250.0
graphic novel,/works/OL16591738W,The Titan's Curse,Robert Venditti,2013.0,,"spa, dut, pol, eng",,,12179554.0
graphic novel,/works/OL1168083W,Nineteen Eighty-Four,George Orwell,1949.0,,"swe, rus, ita, fre, eng",,,9267242.0
graphic novel,/works/OL8699270W,Swan,"Kyoko Ariyoshi, Kyōko Ariyoshi, ariyoshi Kyoko, Ariyoshi Kyoko",2004.0,,eng,,,2737774.0
graphic novel,/works/OL15155002W,The Ugly Duckling,Hans Christian Andersen,1851.0,,"eng, dan, jpn, pol, fre",,,446546.0
graphic novel,/works/OL17835915W,Stormbreaker,Anthony Horowitz,2006.0,,eng,,,8130008.0
graphic novel,/works/OL1230613W,L’étranger,Albert Camus,1942.0,,"swe, ita, kur, fre, eng",,,13151269.0
graphic novel,/works/OL21835701W,Twisted Ones,"Kira Breed-Wrisley, Scott Cawthon",2021.0,,"pol, eng",,,10673740.0
graphic novel,/works/OL262460W,The Lost World,Arthur Conan Doyle,1900.0,,"fin, spa, eng, chi, ita",,,8231444.0
graphic novel,/works/OL24045690W,The witches--The graphic novel,"Pénélope Bagieu, Roald Dahl",2020.0,,"eng, spa",,,13152043.0
graphic novel,/works/OL19086822W,Monster High,Heather Nuhfer,2014.0,,eng,,,8402740.0
graphic novel,/works/OL21838060W,Long Way Down,Jason Reynolds,2017.0,,eng,,,10493501.0
graphic novel,/works/OL85892W,Dracula,Bram Stoker,1897.0,,"alb, spa, tur, eng, gle",,,12216503.0
graphic novel,/works/OL17075811W,Sapiens,Yuval Noah Harari,2011.0,,"rum, tur, kor, eng, ger",,,8634250.0
graphic novel,/works/OL8400840W,Yu-Gi-Oh!,Kazuki Takahashi,1997.0,,"chi, eng",,,863639.0
graphic novel,/works/OL21177W,Wuthering Heights,Emily Brontë,1846.0,,"rus, arm, ita, fre, eng",,,12818862.0
graphic novel,/works/OL2772007W,The Yellow Wallpaper,"Charlotte Perkins Gilman, Aric Cushing, Logan Thomas, SparkNotes, Bryan Hunt, A. J. Alexander, Steven Stern, Aileen Oracion, Twisted Classics, Anne Geer, Sara Barkat, Period Time Publishing, Félix Gerónimo, AGUSTIN LOPEZ TOBAJAS, Nicolae Sfetcu, Erminia Passannanti",1892.0,,"spa, eng, ita, fre, ger",,,652029.0
graphic novel,/works/OL3140822W,To Kill a Mockingbird,Harper Lee,1960.0,,"eng, fre, urd, spa, swe",,,14351077.0
