title,author,year_published,subjects,edition_count,open_library_key,queried_author
"Cambridge IGCSE® Business Studies Coursebook with CD-ROM (Cambridge International Examinations) by Fisher, Mark, Houghton, Medi, Jain, Veenu (2014) Paperback",Unknown Author,,,1,/book/show/127961264-cambridge-igcse-business-studies-coursebook-with-cd-rom-cambridge-inte,Mark Fisher
El desig postcapitalista,Mark Fisher,,,1,/book/show/223563882-el-desig-postcapitalista,Mark Fisher
How to Tell a Story and Other Essays,Mark Twain,,,242,/book/show/404023.How_to_Tell_a_Story_and_Other_Essays,Mark Fisher
The Stolen Scroll (The Scepter and Tower #0.5),Mark E. Fisher,,,1,/book/show/54022605-the-stolen-scroll,Mark Fisher
Cambridge IGCSE and O Level Business Studies Coursebook,Mark    Fisher,,,1,/book/show/49608865-cambridge-igcse-and-o-level-business-studies-coursebook,Mark Fisher
Mark Fisher 1841-1923 The Impressionist - First Exhibition in America of the Work of This Boston Born Artist,Mark    Fisher,,,1,/book/show/129134763-mark-fisher-1841-1923-the-impressionist---first-exhibition-in-america-of,Mark Fisher
K-Punk: Music,Mark Fisher,,,2,/book/show/191421663-k-punk,Mark Fisher
"The Master'S Slave, Elijah John Fisher : a Biography / by His Son, Miles Mark Fisher ... with an Introduction by the Rev. Lacey Kirk Williams, D.D., and an Appreciation by the 1922 [Leather Bound]",Miles Mark Fisher,,,1,/book/show/236647144-the-master-s-slave-elijah-john-fisher,Mark Fisher
"(The Edinburgh Fringe Survival Guide) [By: Mark Fisher] [Feb, 2012]",Mark Fisher,,,1,/book/show/249369617-the-edinburgh-fringe-survival-guide-by,Mark Fisher
The Golfer and the Millionaire: It's About Having the Drive to Succeed by Mark Fisher (2000-05-15),Mark Fisher,,,1,/book/show/212524798-the-golfer-and-the-millionaire,Mark Fisher
"[The Logical Trader: Applying a Method to the Madness (Wiley Trading)] [Author: Fisher, Mark] [July, 2002]",Mark Fisher,,,1,/book/show/245199832-the-logical-trader,Mark Fisher
